,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec012_nation_cd,과정,수료년도,수료학기,rec012_birth_dt,gpa,rec012_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
3652,3652,8127,AAFNSejPYxqODAAf9db5JzLN,공과대학,공학,2,정원내신입학,휴학,건축학과,건축계획학전공,AAGc8sBIVxig3zYr5RiEg0op,korean,석사과정,,,19900210,4,3,,37.12,60,자교,,0
3653,3653,8128,AAHkr4goYmcobsfF5rJmR75Y,공과대학,공학,1,정원내신입학,수료연구(재학),건축학과,건축계획학전공,AAGqlLslP9/uIFQLbRKSWiid,korean,석사과정,2021,1R,19900702,3.69,4,,39.97,45,타교,,0
3658,3658,8148,AAFFSPBfVZL7dXdTRicuRc7a,공과대학,공학,2,학연산협동과정,재학,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석사과정,,,19981213,4.25,2,,53.4,36.9,타교,,0
3669,3669,8201,AAF+WgCjD+1MGPfUEY9K05bB,공과대학,공학,1,정원내신입학,제적,화공생명공학과,화공생명공학전공,AAHbfpe13iYQFP6H7+l+dBws,korean,석사과정,,,19871203,,1,4800000,51,34,타교,,800000
3671,3671,8223,AAG6nL42bWhhohVQc44RCxXw,공과대학,공학,2,학연산협동과정,재학,화공생명공학과,화공생명공학전공,AAEq8HcBVKlZ1zoHoDD1+2+v,korean,석사과정,,,19951004,4.38,2,,54.3,34.7,타교,,0
3680,3680,8242,AAHJcaX8mvaaIrlss9vSLA9w,공과대학,공학,1,학연산협동과정,제적,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,석사과정,,,19921104,,1,,45.33,32.67,타교,,0
3689,3689,8286,AAFHTFr7yDA9bQEj8j5KK6JZ,공과대학,공학,2,정원내신입학,재학,건축학과,건축계획학전공,AAGc8sBIVxig3zYr5RiEg0op,korean,석사과정,,,19891004,4.28,4,,33.75,55,자교,,0
3698,3698,8307,AAF/rK5HFaRsAa/19mbIsXVZ,공과대학,공학,1,정원외-계약학과,재학,자동차융합학과,전자제어전공,AAGDZ4rkGFkJQKMblYZPp9Q3,korean,석사과정,,,19970516,4.5,2,10800000,46,45,타교,,900000
3700,3700,8312,AAGqsJNo26uZBHAsnI5RoQ7Z,공과대학,공학,2,복수학위제,제적,건축학과,도시계획 및 도시설계전공,AAHgiM2C3WUM7yWRxcTuz+r0,foreigner,석사과정,,,19910805,4.25,1,,,86.33,타교,,0
3701,3701,8315,AAFbLAMViJZCdwqv4DxQGvB4,공과대학,공학,1,정원내신입학,제적,건축사회환경공학과,물과 환경전공,AAGopWa0c7/Rh6S3QHrGGKvP,korean,석사과정,,,19940728,4.33,1,12400000,45.8,47.3,타교,,2066666.667
3707,3707,8327,AAEK4jNak9Lf/WjA7Es2kDR/,공과대학,공학,1,정원내신입학,수료연구(재학),건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,korean,석사과정,2021,1R,19920526,3.75,4,28445515,45.2,48.8,자교,,1185229.792
3708,3708,8332,AAHZPkHzQC2pd9QEQkEb7b/S,공과대학,공학,2,정원내신입학,재학,건축사회환경공학과,물과 환경전공,AAGf8vYauYE4gGkoGe41B95E,korean,석사과정,,,19910917,3.1,4,,45.8,47.2,타교,,0
3709,3709,8334,AAFDgvAFiu/dH1t4TG+UTQ7s,공과대학,공학,1,정원내신입학,제적,화공생명공학과,화공생명공학전공,AAGmLuTrvsIfADC3wzxuZFTM,korean,석사과정,,,19910113,4.2,1,,43,28,타교,,0
3710,3710,8343,AAHIco8bqyceomHl9k4zsGkP,공과대학,공학,1,정원내신입학,제적,건축사회환경공학과,사회인프라전공,AAHVEHlNvzWQFCLtWNufAFQh,korean,석사과정,,,19941029,4.5,2,13460000,46.2,48.4,자교,,1121666.667
3711,3711,8349,AAHKNJ12kYyZAEuM7EjE2RUT,공과대학,공학,1,정원내신입학,재학,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,석사과정,,,19970216,,1,5166000,47.02,47.65,타교,,861000
3712,3712,8351,AAH80w9unzCxPThBL1mZDAp+,공과대학,공학,1,정원내신입학,제적,화공생명공학과,화공생명공학전공,AAEq8HcBVKlZ1zoHoDD1+2+v,korean,석사과정,,,19901209,,1,,55.5,36,타교,,0
3737,3737,8425,AAGu6xwC2IBe1ciUWQ0AEdSi,공과대학,공학,1,정원내신입학,영구수료,건축학과,건축계획학전공,AAGqlLslP9/uIFQLbRKSWiid,korean,석사과정,2017,1R,19850410,4.06,4,,30.13,60,자교,,0
3738,3738,8426,AAFNNUbF3p2poJMulA5agdUP,공과대학,공학,1,정원내신입학,영구수료,건축학과,도시계획 및 도시설계전공,AAHgiM2C3WUM7yWRxcTuz+r0,korean,석사과정,2017,1R,19881208,3.94,4,22192000,33.93,58,자교,,924666.6667
3739,3739,8427,AAFeSHb+0qTtiRweGQ/cyOl5,공과대학,공학,1,외국인,영구수료,건축학과,도시계획 및 도시설계전공,AAFrsnARjL+QgQiahCVgPA2Z,foreigner,석사과정,2017,1R,19880724,4,4,,82.33,,타교,,0
3744,3744,8452,AAGayRVG6DWCKE/TYgxFJbJz,공과대학,공학,1,정원외-계약학과,재학,반도체시스템공학과,나노반도체설계전공,AAFPtasdSmFiolLbQlDDSvRe,korean,석사과정,,,19950805,3.83,2,4725000,45.67,48,자교,,393750
3745,3745,8453,AAGAF3t1v29+MhoivBwuI3KI,공과대학,공학,1,정원외-계약학과,재학,반도체시스템공학과,나노반도체재료및소자전공,AAECdzyDAzeE6PWmSAm4h7jT,korean,석사과정,,,19950301,4.33,2,3600000,47.5,48,자교,,300000
3746,3746,8454,AAFetvAI/LLINrOpVOXUH8Gr,공과대학,공학,1,정원외-계약학과,재학,반도체시스템공학과,나노반도체재료및소자전공,AAECdzyDAzeE6PWmSAm4h7jT,korean,석사과정,,,19961128,4,2,3600000,47.33,49,자교,,300000
3747,3747,8455,AAGeh3s/vJKG3lYhQNqPsdDU,공과대학,공학,1,정원외-계약학과,재학,반도체시스템공학과,나노반도체재료및소자전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,석사과정,,,19960915,4.33,2,9000000,46.33,46.33,자교,,750000
